condition,seed,A_single_seed,F_single_seed,MN9_delta_hz,motor_total_delta_hz,baseline_MN9_hz,lesion_MN9_hz
optimized_003,631002,13.098039215686274,0.20509671476819158,7.0,-340.0,77.0,84.0
optimized_003,631003,14.686274509803921,0.21836734693877552,-8.0,-467.0,83.0,75.0
optimized_003,631004,14.137254901960784,0.21044950379451255,-3.0,-418.0,84.0,81.0
optimized_003,631005,12.96078431372549,0.19032536711776563,5.0,-320.0,81.0,86.0
optimized_003,631006,14.392156862745098,0.21588235294117647,4.0,-415.0,85.0,89.0
optimized_003,631007,14.372549019607844,0.21426483484361297,-7.0,-394.0,84.0,77.0
optimized_003,631008,12.686274509803921,0.19600121175401394,0.0,-326.0,83.0,83.0
optimized_003,631009,13.705882352941176,0.21111446692842042,4.0,-374.0,89.0,93.0
optimized_003,631010,12.803921568627452,0.1966867469879518,4.0,-332.0,81.0,85.0
optimized_003,631011,12.215686274509803,0.19542032622333752,0.0,-322.0,86.0,86.0
optimized_003,631012,13.019607843137255,0.20250076242756937,-5.0,-334.0,85.0,80.0
optimized_003,631013,12.07843137254902,0.1983258209916291,13.0,-321.0,83.0,96.0
optimized_003,631014,13.92156862745098,0.21308523409363744,-11.0,-462.0,88.0,77.0
optimized_003,631015,13.254901960784315,0.2130475890324614,-5.0,-433.0,92.0,87.0
optimized_003,631016,13.215686274509803,0.20732082436173485,-1.0,-385.0,84.0,83.0
optimized_003,631017,13.176470588235293,0.2018018018018018,9.0,-303.0,80.0,89.0
optimized_003,631018,11.823529411764707,0.19414037347070187,5.0,-291.0,80.0,85.0
optimized_003,631019,13.07843137254902,0.2003003003003003,3.0,-388.0,80.0,83.0
optimized_003,631020,13.392156862745098,0.19250281848928974,-1.0,-335.0,89.0,88.0
optimized_003,631021,13.294117647058824,0.19555811941159504,6.0,-314.0,84.0,90.0
optimized_003,631022,12.470588235294118,0.1993105609526794,-9.0,-349.0,91.0,82.0
optimized_003,631023,12.764705882352942,0.19243275199527046,-1.0,-389.0,88.0,87.0
optimized_003,631024,14.313725490196079,0.2153392330383481,4.0,-431.0,83.0,87.0
optimized_003,631025,13.568627450980392,0.19890773210692728,-3.0,-359.0,78.0,75.0
