source_id,intermediate_id,motor_id,source_to_intermediate_weight,intermediate_to_motor_weight,intermediate_activity,delta_hz,motif_type,intermediate_nt
720575940617000768,720575940619973712,720575940614734754,15.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940619973712,720575940614734754,6.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940619973712,720575940614734754,1.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940619973712,720575940614734754,9.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940619973712,720575940614734754,4.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940619973712,720575940614734754,1.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940619973712,720575940614734754,5.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940619973712,720575940614734754,5.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940619973712,720575940614734754,2.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940619973712,720575940614734754,6.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940619973712,720575940623415849,15.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940619973712,720575940623415849,6.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940619973712,720575940623415849,1.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940619973712,720575940623415849,9.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940619973712,720575940623415849,4.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940619973712,720575940623415849,1.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940619973712,720575940623415849,5.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940619973712,720575940623415849,5.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940619973712,720575940623415849,2.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940619973712,720575940623415849,6.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940621771041,720575940628997123,1.0,-24.0,2.0,48.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940621771041,720575940628997123,1.0,-24.0,2.0,48.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940644666148,720575940636165624,1.0,-47.0,1.0,47.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940631092943,720575940645527918,1.0,-23.0,2.0,46.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940638202345,720575940631092943,720575940645527918,1.0,-23.0,2.0,46.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940617000768,720575940616864217,720575940623390246,1.0,-10.0,4.0,40.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940623390246,3.0,-10.0,4.0,40.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940632030008,720575940628997123,1.0,-40.0,1.0,40.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616018956,720575940630868793,2.0,-4.0,9.0,36.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940616018956,720575940630868793,2.0,-4.0,9.0,36.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940616018956,720575940630868793,2.0,-4.0,9.0,36.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616018956,720575940630868793,3.0,-4.0,9.0,36.0,sensory_excites_inhibitor_inhibits_motor,gaba
