group,condition,seed,root_id,rate_hz,spike_count
motor_005,baseline,631202,720575940631759663,0.0,0
motor_005,baseline,631202,720575940633753569,0.0,0
motor_005,motor_005,631202,720575940625585596,0.0,0
motor_005,motor_005,631202,720575940627712019,0.0,0
motor_005,motor_005,631202,720575940631759663,0.0,0
motor_005,motor_005,631202,720575940633753569,0.0,0
motor_005,motor_008,631202,720575940625585596,0.0,0
motor_005,motor_008,631202,720575940627712019,0.0,0
motor_005,motor_008,631202,720575940631759663,0.0,0
motor_005,motor_008,631202,720575940633753569,0.0,0
motor_005,motor_011,631202,720575940625585596,0.0,0
motor_005,motor_011,631202,720575940627712019,0.0,0
motor_005,motor_011,631202,720575940631759663,0.0,0
motor_005,motor_011,631202,720575940633753569,0.0,0
motor_005,baseline,631203,720575940625585596,0.0,0
motor_005,baseline,631203,720575940627712019,0.0,0
motor_005,baseline,631203,720575940631759663,0.0,0
motor_005,baseline,631203,720575940633753569,0.0,0
motor_005,motor_005,631203,720575940625585596,0.0,0
motor_005,motor_005,631203,720575940627712019,0.0,0
motor_005,motor_005,631203,720575940631759663,0.0,0
motor_005,motor_005,631203,720575940633753569,0.0,0
motor_005,motor_008,631203,720575940625585596,0.0,0
motor_005,motor_008,631203,720575940627712019,0.0,0
motor_005,motor_008,631203,720575940631759663,0.0,0
motor_005,motor_008,631203,720575940633753569,0.0,0
motor_005,motor_011,631203,720575940625585596,0.0,0
motor_005,motor_011,631203,720575940627712019,0.0,0
motor_005,motor_011,631203,720575940631759663,0.0,0
motor_005,motor_011,631203,720575940633753569,0.0,0
motor_005,baseline,631204,720575940625585596,0.0,0
motor_005,baseline,631204,720575940627712019,0.0,0
motor_005,baseline,631204,720575940631759663,0.0,0
motor_005,baseline,631204,720575940633753569,0.0,0
motor_005,motor_005,631204,720575940625585596,0.0,0
motor_005,motor_005,631204,720575940627712019,0.0,0
motor_005,motor_005,631204,720575940631759663,0.0,0
motor_005,motor_005,631204,720575940633753569,0.0,0
motor_005,motor_008,631204,720575940625585596,0.0,0
motor_005,motor_008,631204,720575940627712019,0.0,0
motor_005,motor_008,631204,720575940631759663,0.0,0
motor_005,motor_008,631204,720575940633753569,0.0,0
motor_005,motor_011,631204,720575940625585596,0.0,0
motor_005,motor_011,631204,720575940627712019,0.0,0
motor_005,motor_011,631204,720575940631759663,0.0,0
motor_005,motor_011,631204,720575940633753569,0.0,0
motor_005,baseline,631205,720575940625585596,0.0,0
motor_005,baseline,631205,720575940627712019,0.0,0
motor_005,baseline,631205,720575940631759663,0.0,0
motor_005,baseline,631205,720575940633753569,0.0,0
motor_005,motor_005,631205,720575940625585596,0.0,0
motor_005,motor_005,631205,720575940627712019,0.0,0
motor_005,motor_005,631205,720575940631759663,0.0,0
motor_005,motor_005,631205,720575940633753569,0.0,0
motor_005,motor_008,631205,720575940625585596,0.0,0
motor_005,motor_008,631205,720575940627712019,0.0,0
motor_005,motor_008,631205,720575940631759663,0.0,0
motor_005,motor_008,631205,720575940633753569,0.0,0
motor_005,motor_011,631205,720575940625585596,0.0,0
motor_005,motor_011,631205,720575940627712019,0.0,0
motor_005,motor_011,631205,720575940631759663,0.0,0
motor_005,motor_011,631205,720575940633753569,0.0,0
